Date,Source,Headline,Lead Paragraph,URL
2020-10-01,The New York Times,"After a layoff, a couple struggles to get by on one salary and jobless benefits.","Until June, MacKenzie Nicholson worked for the American Cancer Society, lobbying state and federal legislators to increase funding for cancer research. She lost her job after the pandemic forced the organization to cancel events across the country, eroding its revenue.",https://www.nytimes.com/2020/10/01/business/after-a-layoff-a-couple-struggles-to-get-by-on-one-salary-and-jobless-benefits.html
2020-10-01,The New York Times,"Fans celebrate the Stanley Cup champions, well outside the N.H.L.’s pandemic bubble.","The Tampa Bay Lightning won the National Hockey League’s top trophy on Monday from within the confines of a 24/7 pandemic bubble in western Canada, and without any fans in the arena to watch.",https://www.nytimes.com/2020/10/01/world/fans-celebrate-the-stanley-cup-champions-well-outside-the-nhls-pandemic-bubble.html
2020-10-01,The New York Times,Companies ditch plans for rapid spit tests at home.,The technology for rapid saliva-based coronavirus tests that could be used at home is not panning out the way some have hoped.,https://www.nytimes.com/2020/10/01/world/companies-ditch-plans-for-rapid-spit-tests-at-home.html
2020-10-01,The New York Times,Is It Time to Rethink Milton Friedman?,"To commemorate the 50th anniversary of Milton Friedman’s influential essay, “The Social Responsibility of Business Is to Increase Its Profits,” DealBook teamed up with The New York Times Magazine to collect thoughts from executives, political leaders and Nobel Prize winners on its legacy.",https://www.nytimes.com/2020/09/11/business/dealbook/milton-friedman-essay-strine.html
2020-10-01,The New York Times,New York and New Jersey join a growing list of states with contact-tracing apps residents can use.,Residents of New York and some surrounding states can now use their smartphones to track whether they have come close to someone with the coronavirus.,https://www.nytimes.com/2020/10/01/world/new-york-and-new-jersey-join-a-growing-list-of-states-with-contact-tracing-apps-residents-can-use.html
2020-10-01,The New York Times,"As Trump Sows Doubts on Mail, Some Democrats Push In-Person Voting",[Watch live VP debate and analysis.],https://www.nytimes.com/2020/10/01/us/politics/democrats-in-person-voting.html
2020-10-01,The New York Times,Amy Coney Barrett signed an ad in 2006 urging overturning the ‘barbaric legacy’ of Roe v. Wade.,"Judge Amy Coney Barrett, President Trump’s nominee to Justice Ruth Bader Ginsburg’s seat on the Supreme Court, signed a newspaper ad in 2006 that supported overturning Roe v. Wade, the landmark decision establishing the right to abortion.",https://www.nytimes.com/2020/10/01/us/elections/amy-coney-barrett-roe-v-wade.html
2020-10-01,The New York Times,The Calculus Behind Trump’s Covid Response,"Maggie Haberman, White House correspondent for The Times, joined us for a DealBook Debrief call to assess how the Trump administration was managing its pandemic response, re-election campaign and more.",https://www.nytimes.com/2020/07/17/business/dealbook/trump-covid-response.html
2020-10-01,The New York Times,Three charts about the markets in the third quarter.,"It’s a new month, and a new quarter. Today’s DealBook newsletter ran the numbers …  ",https://www.nytimes.com/2020/10/01/business/three-charts-about-the-markets-in-the-third-quarter.html
2020-10-01,The New York Times,Michigan charges two right-wing operatives with felonies over voter suppression scheme.,Two right-wing political operatives were charged Thursday with a series of felonies in connection with a robocall scheme that Michigan’s attorney general said was part of a broad effort intended to intimidate minority voters from casting mail-in ballots.,https://www.nytimes.com/2020/10/01/us/elections/jacob-wohl-jack-burkman-michigan-felony.html
2020-10-01,The New York Times,The battle over restrictions in Madrid moves to the courtroom.,"The debate over how and whether to lock down Madrid, the epicenter of Spain’s second wave of the virus, is moving to the courtroom as the region challenges a national decree that would lock down the capital and prevent Madrid-area residents from traveling to other parts of the country.",https://www.nytimes.com/2020/10/01/world/the-battle-over-restrictions-in-madrid-moves-to-the-courtroom.html
2020-10-01,The New York Times,How Likely Is Election Doomsday?,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host.",https://www.nytimes.com/2020/10/01/us/politics/election-doomsday-scenarios.html
2020-10-01,The New York Times,Editors’ Note,This article was published in error.,https://www.nytimes.com/2020/10/01/arts/this-is-my-failover-headline.html
2020-10-01,The New York Times,"Lebanon and Israel, Officially Enemies, Agree to Talks on Sea Border","BEIRUT, Lebanon — Lebanon and Israel have agreed to open their first negotiations on nonsecurity issues in three decades, a rare if limited breakthrough between hostile neighbors that are technically at war and have no formal diplomatic relations.",https://www.nytimes.com/2020/10/01/world/middleeast/lebanon-israel-talks-border-gas.html
2020-10-01,The New York Times,Republicans Sow Doubts About Debate Fairness,"After Tuesday’s chaotic presidential debate, in which President Trump repeatedly ignored the ground rules, his supporters turned their anger on Chris Wallace, the Fox News anchor who served as the debate’s moderator, accusing him of being biased against the president.",https://www.nytimes.com/2020/10/01/technology/republicans-doubts-debate-fairness.html
2020-10-01,The New York Times,"Owners of BitMEX, a Leading Bitcoin Exchange, Face Criminal Charges","American authorities brought criminal charges on Thursday against the owners of one of the world’s biggest cryptocurrency trading exchanges, BitMEX, accusing them of allowing the Hong Kong-based company to launder money and engage in other illegal transactions.",https://www.nytimes.com/2020/10/01/technology/bitmex-bitcoin-criminal-charges.html
2020-10-02,The New York Times,She had income from three jobs. The pandemic took it all away.,"To support her family as a single mother, Connie Sarmiento used to work three jobs. She would start her workday at 6:30 a.m. at the Grand Hyatt in San Francisco, where she was employed as a telephone operator. At 2:30 p.m. on game days, she would catch a bus to Oracle Park, the Giants’ baseball stadium, where she worked as a cashier until 10:30 p.m. She also served concessions at Chase Center, home to the N.B.A.’s Golden State Warriors.",https://www.nytimes.com/2020/10/02/business/she-had-income-from-three-jobs-the-pandemic-took-it-all-away.html
2020-10-02,The New York Times,,"With New York City watching to see if a recent uptick in coronavirus cases could trigger another wave of shutdowns and closings, Mayor Bill de Blasio said on Friday that the city’s seven-day average for positive test results had risen to 1.53 percent.",https://www.nytimes.com/2020/10/02/world/02virus-briefing-deblasio.html
2020-10-02,The New York Times,U.S. Appeals Injunction Against WeChat Ban,"WASHINGTON — The federal government on Friday appealed a judge’s ruling that prevented the Trump administration from imposing a ban on WeChat, the popular Chinese-owned messaging app.",https://www.nytimes.com/2020/10/02/technology/wechat-ban-court.html
2020-10-02,The New York Times,The U.S. presidential campaign is upended in its final stretch.,"President Trump’s announcement early Friday that he had contracted the coronavirus upended the presidential race in an instant, inviting significant questions about his cavalier attitude toward the pandemic and the future of his campaign just 32 days before the election.",https://www.nytimes.com/2020/10/02/world/the-us-presidential-campaign-is-upended-in-its-final-stretch.html
2020-10-02,The New York Times,New Jersey officials are scrambling to trace attendees of Trump fund-raiser at golf course.,"Officials with the health department in Somerset County, where the Trump National Golf Course in Bedminster, N.J., is located, said Friday that they have asked the club for a list of staff members and attendees at Thursday’s Republican fund-raiser for President Trump.",https://www.nytimes.com/2020/10/02/us/elections/new-jersey-officials-are-scrambling-to-trace-attendees-of-trump-fund-raiser-at-golf-course.html
2020-10-02,The New York Times,Senators Thom Tillis and Mike Lee test positive for the virus.,"Two senators announced on Friday that they had tested positive for the coronavirus, as the president’s diagnosis reverberated at the Capitol, prompting fresh demands for better protections for lawmakers.",https://www.nytimes.com/2020/10/02/us/elections/senators-thom-tillis-and-mike-lee-test-positive-for-the-virus.html
2020-10-02,The New York Times,Trump’s Covid News Meets a Landscape Primed for Mistrust,[Watch live VP debate and analysis.],https://www.nytimes.com/2020/10/02/us/politics/trump-virus-trust.html
2020-10-02,The New York Times,"‘If He Doesn’t Win Ohio, It’s Over’: Trump Slips in the Heartland",[Watch live VP debate and analysis.],https://www.nytimes.com/2020/10/02/us/politics/trump-ohio-polls.html
2020-10-02,The New York Times,"Trump, under pressure to condemn white supremacist groups, does so briefly.","President Trump on Thursday night gave a clearer condemnation of the Proud Boys, the far-right extremist group whose members support him, after he gave them a call to “stand back and stand by” during the first presidential debate of the general election this week. Mr. Trump has stopped short of fully condemning the group since that comment, giving indirect disavowals of white supremacists when pressed by reporters since the Tuesday night debate.",https://www.nytimes.com/2020/10/02/us/elections/trump-under-pressure-to-condemn-white-supremacist-groups-does-so-briefly.html
2020-10-02,The New York Times,Liberals cast doubt on Trump’s coronavirus diagnosis on social media.,"President Trump’s announcement on Friday that he had tested positive for the coronavirus set off a wave of tweets and Facebook posts with a common refrain, especially on the left: Why should we believe him?",https://www.nytimes.com/2020/10/02/us/elections/liberals-cast-doubt-on-trumps-coronavirus-diagnosis-on-social-media.html
2020-10-02,The New York Times,A recording of Melania Trump captures her complaining in vulgar terms about Christmas decorations and mocking detained migrant children.,"Melania Trump, the first lady, delivered a profanity-laced rant about White House Christmas decorations and mocked the plight of migrant children who were separated from their parents at the border, during a 2018 conversation secretly taped by her former aide and close confidante.",https://www.nytimes.com/2020/10/02/us/elections/a-recording-of-melania-trump-captures-her-complaining-in-vulgar-terms-about-christmas-decorations-and-mocking-detained-migrant-c.html
2020-10-02,The New York Times,Biden Campaign Races to Adjust to New Uncertainty in Campaign,[Follow our latest coverage of the Biden vs. Trump 2020 election.],https://www.nytimes.com/2020/10/02/us/politics/joe-biden-virus-trump.html
2020-10-02,The New York Times,Democrats are awash in cash as the election nears.,Money does not itself win elections. But this year Democrats might be forgiven for wishing it did.,https://www.nytimes.com/2020/10/02/us/elections/democrats-are-awash-in-cash-as-the-election-nears.html
